# HIKARI AI CHATBOT - 1500 QUESTIONS & ANSWERS DATABASE
# Format: Q: [Question] | A: [Answer]

# === HỆ THỐNG HIKARI ===
Q: Hệ thống Hikari là gì? | A: Hikari là nền tảng học tiếng Nhật trực tuyến toàn diện, hỗ trợ học viên từ N5 đến N1 với các khóa học, bài tập, thi thử và cộng đồng học tập.

Q: Hikari có những tính năng gì? | A: Hikari cung cấp: đăng ký khóa học, học bài trực tuyến, làm bài tập, thi thử JLPT, diễn đàn thảo luận, theo dõi tiến độ, thanh toán học phí và chat với giảng viên.

Q: Ai có thể sử dụng Hikari? | A: Hikari phục vụ 4 nhóm người dùng: Học viên (đăng ký học), Giảng viên (tạo bài giảng), Quản trị viên (quản lý hệ thống), và Điều phối viên (giám sát chất lượng).

Q: Làm sao để đăng ký tài khoản Hikari? | A: Bạn truy cập trang chủ Hikari, click "Đăng ký", điền thông tin cá nhân (họ tên, email, mật khẩu), xác nhận email và hoàn tất đăng ký.

Q: Tôi quên mật khẩu Hikari thì làm sao? | A: Click "Quên mật khẩu" ở trang đăng nhập, nhập email đã đăng ký, kiểm tra email để nhận link reset mật khẩu, sau đó tạo mật khẩu mới.

Q: Hikari có hỗ trợ ngôn ngữ nào ngoài tiếng Nhật? | A: Hiện tại Hikari tập trung vào tiếng Nhật, nhưng giao diện hỗ trợ tiếng Anh và tiếng Việt. Hỗ trợ đa ngôn ngữ sẽ được thêm trong tương lai.

Q: Hikari có giới hạn độ tuổi người dùng không? | A: Không, Hikari phù hợp cho mọi lứa tuổi từ học sinh, sinh viên đến người đi làm, miễn là có nhu cầu học tiếng Nhật.

Q: Hikari có tích hợp công cụ từ điển không? | A: Có, Hikari tích hợp từ điển Kanji, từ vựng và ngữ pháp, hỗ trợ tra cứu nhanh trong bài học và diễn đàn.

Q: Tôi có thể học thử trước khi đăng ký khóa học không? | A: Có, Hikari cho phép học thử một số bài học miễn phí trước khi đăng ký khóa học chính thức. Truy cập mục "Học thử" trên trang chủ.

Q: Hikari có cộng đồng học tập không? | A: Có, diễn đàn Hikari là nơi học viên, giảng viên và điều phối viên thảo luận, chia sẻ kinh nghiệm và tài liệu học tập.

Q: Hikari có hỗ trợ người khuyết tật không? | A: Hikari đang phát triển tính năng hỗ trợ như phụ đề lớn hơn, âm thanh mô tả, và giao diện tối ưu cho người khiếm thị.

Q: Hikari có chương trình khách hàng thân thiết không? | A: Có, học viên hoàn thành nhiều khóa học sẽ nhận điểm tích lũy, đổi lấy mã giảm giá hoặc tài liệu học tập miễn phí.

Q: Hikari có bảo mật thông tin cá nhân không? | A: Có, Hikari tuân thủ GDPR và các quy định bảo mật, sử dụng mã hóa SSL cho dữ liệu người dùng trong bảng UserAccount.

Q: Hikari có khóa học cho trẻ em không? | A: Hiện tại chưa có khóa riêng cho trẻ em, nhưng khóa N5 Cơ bản phù hợp với học sinh từ 12 tuổi trở lên.

Q: Tôi có thể học nhiều khóa cùng lúc trên Hikari không? | A: Có, bạn có thể đăng ký nhiều khóa học và quản lý tiến độ riêng biệt trong mục "Khóa học của tôi".

Q: Hikari có cung cấp tài liệu in không? | A: Không, tài liệu được cung cấp dưới dạng PDF trong mục "Tài liệu bài học" để tiết kiệm chi phí và bảo vệ môi trường.

Q: Tôi có thể sử dụng Hikari ở quốc gia nào? | A: Hikari là nền tảng trực tuyến, có thể truy cập từ bất kỳ quốc gia nào với kết nối internet ổn định.

Q: Hikari có hỗ trợ học qua video call không? | A: Một số khóa học có phiên tư vấn qua video call với giảng viên, nhưng chủ yếu là video bài giảng được ghi sẵn.

Q: Hikari có tính năng gamification không? | A: Có, Hikari có bảng xếp hạng, huy hiệu (Achievements), và điểm hoạt động (UserActivityScore) để khuyến khích học tập.

Q: Hikari có khóa học ngoại tuyến không? | A: Không, Hikari là nền tảng trực tuyến hoàn toàn, yêu cầu kết nối internet để truy cập bài học và tính năng.

# === KHÓA HỌC ===
Q: Hikari có những khóa học nào? | A: Hikari có 10 khóa học chính: N5 Cơ bản (2tr), N4 Trung cấp (2.5tr), N3 Cao cấp (3tr), N2 Luyện thi (3.5tr), N1 Chuyên sâu (4tr), Kanji Mastery (1.8tr), Hội thoại Thực tế (2.2tr), Văn hóa Nhật (1.5tr), Tiếng Nhật Thương mại (3.2tr), Luyện nghe N3-N2 (1.9tr).

Q: Khóa N5 Cơ bản học những gì? | A: Khóa N5 bao gồm: Hiragana (46 ký tự), Katakana (46 ký tự), 50 Kanji cơ bản, số đếm 1-100, chào hỏi và giới thiệu bản thân. Thời lượng 120 giờ, học phí 2 triệu đồng.

Q: Khóa N4 Trung cấp có gì? | A: Khóa N4 gồm: 300 Kanji N4, ngữ pháp N4 (80 mẫu), hội thoại du lịch/mua sắm, từ vựng gia đình/công việc. Thời lượng 150 giờ, học phí 2.5 triệu đồng.

Q: Khóa N3 Cao cấp khó không? | A: Khóa N3 nâng cao với ngữ pháp điều kiện, 650 Kanji phức tạp, đọc hiểu văn bản dài. Phù hợp người đã qua N4. Thời lượng 180 giờ, học phí 3 triệu đồng.

Q: Khóa luyện thi N2 có gì đặc biệt? | A: Khóa N2 tập trung: ngữ pháp phức tạp, viết luận, đọc hiểu văn bản học thuật, nghe hiểu hội thoại nâng cao. Bao gồm bài thi thử định kỳ. Thời lượng 200 giờ, học phí 3.5 triệu.

Q: Khóa N1 Chuyên sâu có khó không? | A: Khóa N1 là cấp độ cao nhất với ngữ pháp phức tạp nhất, 1000+ Kanji, văn bản học thuật chuyên sâu. Dành cho người có kinh nghiệm. Thời lượng 240 giờ, học phí 4 triệu.

Q: Khóa Kanji Mastery học như thế nào? | A: Khóa này dạy 1000+ Kanji từ N5-N1, phương pháp ghi nhớ hiệu quả, âm On-Kun, cách viết đúng. Tặng kèm flashcard. Thời lượng 100 giờ, học phí 1.8 triệu.

Q: Khóa Hội thoại Thực tế có gì hay? | A: Khóa này luyện giao tiếp thực tế: hội thoại hàng ngày, công việc, nhà hàng, phỏng vấn xin việc. Video thực tế, tương tác nhiều. Thời lượng 80 giờ, học phí 2.2 triệu.

Q: Khóa Văn hóa Nhật Bản học gì? | A: Tìm hiểu lịch sử Nhật cổ đại, văn hóa truyền thống, anime/manga, xã hội hiện đại. Không yêu cầu tiếng Nhật cao. Thời lượng 60 giờ, học phí 1.5 triệu.

Q: Khóa Tiếng Nhật Thương mại dành cho ai? | A: Dành cho người làm việc với Nhật: Keigo (kính ngữ), email kinh doanh, thuyết trình, đàm phán. Yêu cầu N3-N2. Thời lượng 160 giờ, học phí 3.2 triệu.

Q: Khóa Luyện nghe N3-N2 có gì nổi bật? | A: Luyện nghe qua hội thoại thực tế, tin tức, bài giảng. Audio chất lượng cao, có phân tích chi tiết. Thời lượng 90 giờ, học phí 1.9 triệu đồng.

Q: Tôi có thể học khóa Văn hóa Nhật Bản mà không biết tiếng Nhật không? | A: Có, khóa Văn hóa Nhật Bản sử dụng tiếng Việt và tiếng Anh để giảng giải, phù hợp cho người mới bắt đầu hoặc không biết tiếng Nhật.

Q: Khóa học nào ngắn nhất trên Hikari? | A: Khóa Văn hóa Nhật Bản ngắn nhất với thời lượng 60 giờ, học phí 1.5 triệu đồng, tập trung vào văn hóa và không yêu cầu tiếng Nhật cao.

Q: Khóa học nào dài nhất trên Hikari? | A: Khóa JLPT N1 Chuyên sâu dài nhất với 240 giờ, học phí 4 triệu đồng, dành cho người muốn đạt trình độ cao nhất.

Q: Khóa học có giới hạn thời gian hoàn thành không? | A: Có, bạn cần hoàn thành khóa học trước ngày endDate (bảng Courses). Sau đó, bạn vẫn có thể xem lại bài học nhưng không nộp bài tập.

Q: Tôi có thể chuyển khóa học đã đăng ký không? | A: Có, liên hệ support@hikari.edu.vn trong 7 ngày đầu để chuyển khóa học miễn phí nếu chưa hoàn thành quá 20% nội dung.

Q: Khóa học có bài kiểm tra định kỳ không? | A: Có, mỗi khóa có bài kiểm tra giữa khóa và cuối khóa, được lưu trong bảng Test, giúp đánh giá tiến độ học tập.

Q: Khóa học có hỗ trợ tài liệu bổ sung không? | A: Có, tài liệu bổ sung (PDF, audio, video) được lưu trong bảng Document, tải miễn phí trong mỗi bài học.

Q: Tôi có thể học lại khóa học sau khi hoàn thành không? | A: Có, bạn có thể truy cập lại nội dung khóa học trong 1 năm sau khi hoàn thành, miễn là khóa học còn isActive (bảng Courses).

Q: Khóa học có cung cấp flashcard không? | A: Khóa Kanji Mastery cung cấp flashcard miễn phí, các khóa khác có flashcard tùy chọn trong mục tài liệu bài học.

Q: Khóa học có hỗ trợ học viên nước ngoài không? | A: Có, Hikari hỗ trợ giao diện tiếng Anh và tài liệu song ngữ (tiếng Việt/Anh) cho học viên quốc tế.

# === HỌC PHÍ VÀ THANH TOÁN ===
Q: Học phí Hikari như thế nào? | A: Học phí từ 1.5-4 triệu tùy khóa: N5 (2tr), N4 (2.5tr), N3 (3tr), N2 (3.5tr), N1 (4tr), Kanji (1.8tr), Hội thoại (2.2tr), Văn hóa (1.5tr), Thương mại (3.2tr), Luyện nghe (1.9tr).

Q: Có thể trả góp học phí không? | A: Hiện tại Hikari chưa hỗ trợ trả góp. Bạn cần thanh toán đủ học phí khi đăng ký khóa học. Chúng tôi đang nghiên cứu phương thức trả góp trong tương lai.

Q: Hikari có mã giảm giá không? | A: Có! Hikari có các mã: NEWBIE2024 (giảm 20% N5), SUMMER2024 (giảm 15% N4), JLPTN3SALE (giảm 25% N3), EARLYBIRD (giảm 30% N2), KANJI50 (giảm 40% Kanji).

Q: Thanh toán bằng cách nào? | A: Hikari hỗ trợ thanh toán qua: chuyển khoản ngân hàng, ví điện tử (Momo, ZaloPay), thẻ tín dụng/ghi nợ. Hệ thống xác nhận thanh toán tự động.

Q: Có được hoàn tiền không? | A: Hoàn tiền 100% nếu hủy trong 7 ngày đầu chưa học bài nào. Hoàn 50% nếu hủy trong 30 ngày đầu. Sau 30 ngày không hoàn tiền.

Q: Làm sao biết thanh toán đã thành công? | A: Sau khi thanh toán, bạn nhận email xác nhận từ Hikari, và trạng thái paymentStatus trong bảng Payment chuyển sang "Complete".

Q: Mã giảm giá có giới hạn thời gian không? | A: Có, mã giảm giá có hiệu lực từ startDate đến endDate (bảng Discount). Kiểm tra chi tiết trong mục "Khuyến mãi" trên trang chủ.

Q: Tôi có thể thanh toán bằng ngoại tệ không? | A: Hiện tại chỉ hỗ trợ thanh toán bằng VNĐ. Hikari đang phát triển tính năng thanh toán quốc tế bằng USD/EUR trong năm 2025.

Q: Hikari có phí ẩn nào không? | A: Không, học phí hiển thị trong bảng Courses là toàn bộ chi phí. Không có phí ẩn như tài liệu, bài kiểm tra, hay chứng chỉ.

Q: Tôi có thể kiểm tra lịch sử thanh toán ở đâu? | A: Vào mục "Tài khoản" → "Lịch sử giao dịch" để xem chi tiết thanh toán (bảng Payment) bao gồm số tiền, ngày, trạng thái.

Q: Có thể sử dụng nhiều mã giảm giá cho một khóa học không? | A: Không, mỗi khóa học chỉ áp dụng một mã giảm giá (bảng Discount). Chọn mã có giá trị giảm cao nhất.

Q: Thanh toán bị lỗi thì làm sao? | A: Kiểm tra kết nối internet, thông tin thẻ/ví, liên hệ ngân hàng nếu cần. Gửi email đến support@hikari.edu.vn với mã giao dịch để được hỗ trợ.

Q: Hikari có hỗ trợ học bổng không? | A: Hiện tại chưa có học bổng chính thức, nhưng mã giảm giá và chương trình khuyến mãi giúp giảm chi phí học tập.

Q: Tôi có thể thanh toán cho người khác không? | A: Có, bạn có thể thanh toán cho tài khoản khác, nhưng cần cung cấp userID của người nhận khóa học khi thanh toán.

Q: Thanh toán có an toàn không? | A: Có, Hikari sử dụng cổng thanh toán mã hóa SSL, tuân thủ PCI-DSS, đảm bảo an toàn thông tin trong bảng Payment.

Q: Tôi có thể xin hóa đơn VAT không? | A: Có, liên hệ support@hikari.edu.vn với thông tin thanh toán (transactionID) để yêu cầu hóa đơn VAT.

Q: Mã giảm giá có áp dụng cho tất cả khóa học không? | A: Không, mỗi mã giảm giá áp dụng cho một khóa học cụ thể (xem courseID trong bảng Discount).

Q: Tôi có thể chuyển khoản học phí qua ứng dụng ngân hàng không? | A: Có, thông tin chuyển khoản hiển thị khi chọn phương thức "Chuyển khoản ngân hàng" trong quy trình thanh toán.

Q: Hikari có chương trình hoàn tiền cho học viên xuất sắc không? | A: Chưa có chương trình hoàn tiền, nhưng học viên đạt điểm cao có thể nhận huy hiệu "HighTestScorer" (bảng Achievements).

Q: Thanh toán thất bại có bị trừ tiền không? | A: Nếu paymentStatus là "Cancel" (bảng Payment), bạn không bị trừ tiền. Liên hệ ngân hàng nếu thấy bất thường.

# === JLPT VÀ THI CỬ ===
Q: JLPT là gì? | A: JLPT (Japanese Language Proficiency Test) là kỳ thi năng lực tiếng Nhật quốc tế, có 5 cấp độ từ N5 (cơ bản) đến N1 (cao cấp), tổ chức 2 lần/năm (tháng 7 và 12).

Q: Cấp độ JLPT nào phù hợp với tôi? | A: N5: người mới học (6 tháng), N4: biết cơ bản (1 năm), N3: trung cấp (1.5-2 năm), N2: khá giỏi (2-3 năm), N1: thành thạo (3+ năm). Tùy thuộc thời gian và mục tiêu học.

Q: Thi JLPT N5 cần chuẩn bị gì? | A: N5 cần: 800 từ vựng, 100 Kanji, ngữ pháp cơ bản (80 mẫu), Hiragana/Katakana thành thạo. Thời gian chuẩn bị: 6-12 tháng tùy năng lực.

Q: JLPT N4 khó hơn N5 như thế nào? | A: N4 cần: 1500 từ vựng (+700), 300 Kanji (+200), 200 mẫu ngữ pháp (+120), đọc hiểu văn bản dài hơn, nghe hiểu hội thoại phức tạp hơn.

Q: Thi JLPT N3 cần lưu ý gì? | A: N3 là bước ngoặt quan trọng: 3700 từ vựng, 650 Kanji, 570 mẫu ngữ pháp. Đọc hiểu văn bản dài, nghe tin tức. Cần học nghiêm túc 1.5-2 năm.

Q: JLPT N2 có khó không? | A: N2 khá khó: 6000 từ vựng, 1000 Kanji, 200+ mẫu ngữ pháp mới. Đọc báo, tiểu thuyết, nghe tin tức, phim. Cần 2-3 năm học tập chăm chỉ.

Q: JLPT N1 là cấp độ như thế nào? | A: N1 là cấp cao nhất: 10000+ từ vựng, 2000+ Kanji, ngữ pháp phức tạp. Đọc hiểu văn bản học thuật, báo chí chuyên sâu. Cần 3+ năm và rất nhiều luyện tập.

Q: Hikari có thi thử JLPT không? | A: Có! Hikari tổ chức thi thử JLPT hàng tháng cho tất cả cấp độ. Đề thi chuẩn format JLPT, chấm điểm tự động, phân tích kết quả chi tiết.

Q: Kết quả thi thử có chính xác không? | A: Kết quả thi thử Hikari có độ chính xác 85-90% so với thi thật. Giúp đánh giá năng lực, xác định điểm yếu cần cải thiện.

Q: Lịch thi JLPT 2024 như thế nào? | A: JLPT 2024: Kỳ 1 (tháng 7/2024) và Kỳ 2 (tháng 12/2024). Đăng ký trước 3-4 tháng. Hikari sẽ thông báo lịch chi tiết.

Q: Làm sao để đăng ký thi JLPT qua Hikari? | A: Hikari hiện không hỗ trợ đăng ký trực tiếp, nhưng cung cấp thông tin và hướng dẫn đăng ký JLPT qua website chính thức của kỳ thi.

Q: Bài thi JLPT có thời gian bao lâu? | A: N5: 110 phút (Từ vựng/Ngữ pháp: 25 phút, Đọc: 50 phút, Nghe: 35 phút). N1: 165 phút (Từ vựng/Ngữ pháp: 35 phút, Đọc: 70 phút, Nghe: 60 phút).

Q: Tôi có thể thi lại JLPT nếu không đỗ không? | A: Có, bạn có thể thi lại bất kỳ kỳ nào (tháng 7 hoặc 12). Không giới hạn số lần thi, nhưng cần đăng ký lại và đóng phí.

